1) -ð- - -θ- - -tθ-/-tθ-/AJ.Aom(เเนน)/eight.m4a.wav,eight
1) -ð- - -θ- - -tθ-/-tθ-/AJ.Aom(เเนน)/hundredth.m4a.wav,hundredth
1) -ð- - -θ- - -tθ-/-tθ-/AJ.Aom(เเนน)/Width.m4a.wav,width
1) -ð- - -θ- - -tθ-/-tθ-/AJ.Nine (Ben)/eighth.m4a.wav,eighth
1) -ð- - -θ- - -tθ-/-tθ-/AJ.Nine (Ben)/hundredth.m4a.wav,hundredth
1) -ð- - -θ- - -tθ-/-tθ-/AJ.Nine (Ben)/width.m4a.wav,width
1) -ð- - -θ- - -tθ-/-tθ-/AJ.Pang (โบว์)/Eighth.m4a.wav,eighth
1) -ð- - -θ- - -tθ-/-tθ-/AJ.Pang (โบว์)/Hundredth.m4a.wav,hundredth
1) -ð- - -θ- - -tθ-/-tθ-/AJ.Pang (โบว์)/Width.m4a.wav,width
1) -ð- - -θ- - -tθ-/-tθ-/AJ.Perry(กพ)/eighth.aac.wav,eighth
1) -ð- - -θ- - -tθ-/-tθ-/AJ.Perry(กพ)/hundredth.aac.wav,hundredth
1) -ð- - -θ- - -tθ-/-tθ-/AJ.Perry(กพ)/width.aac.wav,width
1) -ð- - -θ- - -tθ-/-tθ-/AJ.Ying/eighth.mp3.wav,eighth
1) -ð- - -θ- - -tθ-/-tθ-/AJ.Ying/hundredth.mp3.wav,hundredth
1) -ð- - -θ- - -tθ-/-tθ-/AJ.Ying/width.mp3.wav,width
1) -ð- - -θ- - -tθ-/-tθ-/Daniel (เเนน)/Eighth.m4a.wav,eighth
1) -ð- - -θ- - -tθ-/-tθ-/Daniel (เเนน)/Hundredth.m4a.wav,hundredth
1) -ð- - -θ- - -tθ-/-tθ-/Daniel (เเนน)/Width.m4a.wav,width
1) -ð- - -θ- - -tθ-/-tθ-/N_Aung/Eighth.m4a.wav,eighth
1) -ð- - -θ- - -tθ-/-tθ-/N_Aung/Hundredth.m4a.wav,hundredth
1) -ð- - -θ- - -tθ-/-tθ-/N_Aung/Width.m4a.wav,width
1) -ð- - -θ- - -tθ-/-tθ-/N_Guy (Ping)/eighth.m4a.wav,eighth
1) -ð- - -θ- - -tθ-/-tθ-/N_Guy (Ping)/Hundredth.m4a.wav,hundredth
1) -ð- - -θ- - -tθ-/-tθ-/N_Guy (Ping)/Width.m4a.wav,width
1) -ð- - -θ- - -tθ-/-tθ-/N_Maprang/eighth.m4a.wav,eighth
1) -ð- - -θ- - -tθ-/-tθ-/N_Maprang/hundredth.m4a.wav,hundredth
1) -ð- - -θ- - -tθ-/-tθ-/N_Maprang/width.m4a.wav,width
1) -ð- - -θ- - -tθ-/-tθ-/N_Stamp (Ping)/Eighth.m4a.wav,eighth
1) -ð- - -θ- - -tθ-/-tθ-/N_Stamp (Ping)/Hundredth.m4a.wav,hundredth
1) -ð- - -θ- - -tθ-/-tθ-/N_Stamp (Ping)/Width.m4a.wav,width
1) -ð- - -θ- - -tθ-/-tθ-/P_meen(สมาย)/Eighth.m4a.wav,eighth
1) -ð- - -θ- - -tθ-/-tθ-/P_meen(สมาย)/Hundredth.m4a.wav,hundredth
1) -ð- - -θ- - -tθ-/-tθ-/P_meen(สมาย)/Width.m4a.wav,width
1) -ð- - -θ- - -tθ-/-tθ-/P_Numaun(smile)/eighth.mp3.wav,eighth
1) -ð- - -θ- - -tθ-/-tθ-/P_Numaun(smile)/hundredth.mp3.wav,hundredth
1) -ð- - -θ- - -tθ-/-tθ-/P_Numaun(smile)/width.mp3.wav,width
1) -ð- - -θ- - -tθ-/-tθ-/P’Manow(Ben)/eighth.m4a.wav,eighth
1) -ð- - -θ- - -tθ-/-tθ-/P’Manow(Ben)/hundredth.m4a.wav,hundredth
1) -ð- - -θ- - -tθ-/-tθ-/P’Manow(Ben)/width.m4a.wav,width
1) -ð- - -θ- - -tθ-/-tθ-/P’Pop(เเนน)/Eighth.m4a.wav,eighth
1) -ð- - -θ- - -tθ-/-tθ-/P’Pop(เเนน)/Hundredth.m4a.wav,hundredth
1) -ð- - -θ- - -tθ-/-tθ-/P’Pop(เเนน)/Width.m4a.wav,width
1) -ð- - -θ- - -tθ-/-tθ-/ไอริณ (กล้วย)/Eighth.m4a.wav,eighth
1) -ð- - -θ- - -tθ-/-tθ-/ไอริณ (กล้วย)/Hundredth.m4a.wav,hundredth
1) -ð- - -θ- - -tθ-/-tθ-/ไอริณ (กล้วย)/Width.m4a.wav,width
1) -ð- - -θ- - -tθ-/-ð-/AJ.Aom(เเนน)/Altogether .aac.wav,altogether
1) -ð- - -θ- - -tθ-/-ð-/AJ.Aom(เเนน)/Smooth .aac.wav,smooth
1) -ð- - -θ- - -tθ-/-ð-/AJ.Aom(เเนน)/Though.aac.wav,though
1) -ð- - -θ- - -tθ-/-ð-/AJ.Aom(เเนน)/Writhe.aac.wav,writhe
1) -ð- - -θ- - -tθ-/-ð-/AJ.Nine (Ben)/altogether .m4a.wav,altogether
1) -ð- - -θ- - -tθ-/-ð-/AJ.Nine (Ben)/smooth.m4a.wav,smooth
1) -ð- - -θ- - -tθ-/-ð-/AJ.Nine (Ben)/though.m4a.wav,though
1) -ð- - -θ- - -tθ-/-ð-/AJ.Nine (Ben)/writhe.m4a.wav,writhe
1) -ð- - -θ- - -tθ-/-ð-/AJ.pang (Bow)/voice_altogether.aac.wav,voice_altogether
1) -ð- - -θ- - -tθ-/-ð-/AJ.pang (Bow)/voice_smooth.aac.wav,voice_smooth
1) -ð- - -θ- - -tθ-/-ð-/AJ.pang (Bow)/voice_though.aac.wav,voice_though
1) -ð- - -θ- - -tθ-/-ð-/AJ.pang (Bow)/voice_writhe.aac.wav,voice_writhe
1) -ð- - -θ- - -tθ-/-ð-/AJ.Perry (kanplu)/Altogether .aac.wav,altogether
1) -ð- - -θ- - -tθ-/-ð-/AJ.Perry (kanplu)/Smooth .aac.wav,smooth
1) -ð- - -θ- - -tθ-/-ð-/AJ.Perry (kanplu)/Though .aac.wav,though
1) -ð- - -θ- - -tθ-/-ð-/AJ.Perry (kanplu)/Writhe.aac.wav,writhe
1) -ð- - -θ- - -tθ-/-ð-/AJ.Ying (Cream)/altogether.mp3.wav,altogether
1) -ð- - -θ- - -tθ-/-ð-/AJ.Ying (Cream)/smooth.mp3.wav,smooth
1) -ð- - -θ- - -tθ-/-ð-/AJ.Ying (Cream)/though.mp3.wav,though
1) -ð- - -θ- - -tθ-/-ð-/AJ.Ying (Cream)/writhe .mp3.wav,writhe
1) -ð- - -θ- - -tθ-/-ð-/Daniel (เเนน)/Altogether.m4a.wav,altogether
1) -ð- - -θ- - -tθ-/-ð-/Daniel (เเนน)/Smooth.m4a.wav,smooth
1) -ð- - -θ- - -tθ-/-ð-/Daniel (เเนน)/Though.m4a.wav,though
1) -ð- - -θ- - -tθ-/-ð-/Daniel (เเนน)/Writhe.m4a.wav,writhe
1) -ð- - -θ- - -tθ-/-ð-/N_Aung/Altogether.m4a.wav,altogether
1) -ð- - -θ- - -tθ-/-ð-/N_Aung/Smooth.m4a.wav,smooth
1) -ð- - -θ- - -tθ-/-ð-/N_Aung/Though.m4a.wav,though
1) -ð- - -θ- - -tθ-/-ð-/N_Aung/writhe.m4a.wav,writhe
1) -ð- - -θ- - -tθ-/-ð-/N_Guy (Ping)/Altogether.m4a.wav,altogether
1) -ð- - -θ- - -tθ-/-ð-/N_Guy (Ping)/Smooth.m4a.wav,smooth
1) -ð- - -θ- - -tθ-/-ð-/N_Guy (Ping)/though.m4a.wav,though
1) -ð- - -θ- - -tθ-/-ð-/N_Guy (Ping)/Writhe.m4a.wav,writhe
1) -ð- - -θ- - -tθ-/-ð-/N_Maprang/altogether.m4a.wav,altogether
1) -ð- - -θ- - -tθ-/-ð-/N_Maprang/smooth.m4a.wav,smooth
1) -ð- - -θ- - -tθ-/-ð-/N_Maprang/Though.m4a.wav,though
1) -ð- - -θ- - -tθ-/-ð-/N_Maprang/writhe.m4a.wav,writhe
1) -ð- - -θ- - -tθ-/-ð-/N_Stamp (Ping)/Altogether.m4a.wav,altogether
1) -ð- - -θ- - -tθ-/-ð-/N_Stamp (Ping)/Smooth.m4a.wav,smooth
1) -ð- - -θ- - -tθ-/-ð-/N_Stamp (Ping)/Though.m4a.wav,though
1) -ð- - -θ- - -tθ-/-ð-/N_Stamp (Ping)/Writhe.m4a.wav,writhe
1) -ð- - -θ- - -tθ-/-ð-/P’ Pop (เเนน)/Altogether.m4a.wav,altogether
1) -ð- - -θ- - -tθ-/-ð-/P’ Pop (เเนน)/Smooth.m4a.wav,smooth
1) -ð- - -θ- - -tθ-/-ð-/P’ Pop (เเนน)/Though.m4a.wav,though
1) -ð- - -θ- - -tθ-/-ð-/P’ Pop (เเนน)/Writhe.m4a.wav,writhe
1) -ð- - -θ- - -tθ-/-ð-/P’Manow (Ben)/altogether.m4a.wav,altogether
1) -ð- - -θ- - -tθ-/-ð-/P’Manow (Ben)/smooth.m4a.wav,smooth
1) -ð- - -θ- - -tθ-/-ð-/P’Manow (Ben)/though.m4a.wav,though
1) -ð- - -θ- - -tθ-/-ð-/P’Manow (Ben)/writhe.m4a.wav,writhe
1) -ð- - -θ- - -tθ-/-ð-/ชาย ป.ตรี เอกอื่น (กล้วย)/Altogether 2.m4a.wav,altogether
1) -ð- - -θ- - -tθ-/-ð-/ชาย ป.ตรี เอกอื่น (กล้วย)/Smooth 2.m4a.wav,smooth
1) -ð- - -θ- - -tθ-/-ð-/ชาย ป.ตรี เอกอื่น (กล้วย)/Though 2.m4a.wav,though
1) -ð- - -θ- - -tθ-/-ð-/ชาย ป.ตรี เอกอื่น (กล้วย)/writhe 2.m4a.wav,writhe
1) -ð- - -θ- - -tθ-/-ð-/พี่ซี (กล้วย)/altogether.m4a.wav,altogether
1) -ð- - -θ- - -tθ-/-ð-/พี่ซี (กล้วย)/smooth.m4a.wav,smooth
1) -ð- - -θ- - -tθ-/-ð-/พี่ซี (กล้วย)/though.m4a.wav,though
1) -ð- - -θ- - -tθ-/-ð-/พี่ซี (กล้วย)/writhe.m4a.wav,writhe
1) -ð- - -θ- - -tθ-/-ð-/พี่น้ำอุ่น (สมาย)/1.mp3.wav,though
1) -ð- - -θ- - -tθ-/-ð-/พี่น้ำอุ่น (สมาย)/2.mp3.wav,altogether
1) -ð- - -θ- - -tθ-/-ð-/พี่น้ำอุ่น (สมาย)/3.mp3.wav,writhe
1) -ð- - -θ- - -tθ-/-ð-/พี่น้ำอุ่น (สมาย)/4.mp3.wav,smooth
1) -ð- - -θ- - -tθ-/-ð-/หญิง ป.ตรี เอกอื่น2 (กล้วย)/Altogether 3.m4a.wav,altogether
1) -ð- - -θ- - -tθ-/-ð-/หญิง ป.ตรี เอกอื่น2 (กล้วย)/Smooth 3.m4a.wav,smooth
1) -ð- - -θ- - -tθ-/-ð-/หญิง ป.ตรี เอกอื่น2 (กล้วย)/Though.m4a.wav,though
1) -ð- - -θ- - -tθ-/-ð-/หญิง ป.ตรี เอกอื่น2 (กล้วย)/Writhe 2.m4a.wav,writhe
1) -ð- - -θ- - -tθ-/-ð-/หญิง ไม่จบเอกอิ้ง ปสก.0-3ปี (กล้วย)/Altogether.m4a.wav,altogether
1) -ð- - -θ- - -tθ-/-ð-/หญิง ไม่จบเอกอิ้ง ปสก.0-3ปี (กล้วย)/Smooth(1).m4a.wav,smooth
1) -ð- - -θ- - -tθ-/-ð-/หญิง ไม่จบเอกอิ้ง ปสก.0-3ปี (กล้วย)/Smooth.m4a.wav,smooth
1) -ð- - -θ- - -tθ-/-ð-/หญิง ไม่จบเอกอิ้ง ปสก.0-3ปี (กล้วย)/Though.m4a.wav,though
1) -ð- - -θ- - -tθ-/-ð-/หญิง ไม่จบเอกอิ้ง ปสก.0-3ปี (กล้วย)/Writhe.m4a.wav,writhe
1) -ð- - -θ- - -tθ-/-ð-/ไอริณ (กล้วย)/altogether.m4a.wav,altogether
1) -ð- - -θ- - -tθ-/-ð-/ไอริณ (กล้วย)/smooth.m4a.wav,smooth
1) -ð- - -θ- - -tθ-/-ð-/ไอริณ (กล้วย)/though.m4a.wav,though
1) -ð- - -θ- - -tθ-/-ð-/ไอริณ (กล้วย)/writhe.m4a.wav,writhe
1) -ð- - -θ- - -tθ-/-θ-/AJ.Aom(เเนน)/Athlete.m4a.wav,athlete
1) -ð- - -θ- - -tθ-/-θ-/AJ.Aom(เเนน)/Hypothesis.m4a.wav,hypothesis
1) -ð- - -θ- - -tθ-/-θ-/AJ.Aom(เเนน)/Stealth.m4a.wav,stealth
1) -ð- - -θ- - -tθ-/-θ-/AJ.Aom(เเนน)/theorist.m4a.wav,theorist
1) -ð- - -θ- - -tθ-/-θ-/AJ.Nine (Ben)/althete.m4a.wav,althete
1) -ð- - -θ- - -tθ-/-θ-/AJ.Nine (Ben)/hypothesis.m4a.wav,hypothesis
1) -ð- - -θ- - -tθ-/-θ-/AJ.Nine (Ben)/stealth.m4a.wav,stealth
1) -ð- - -θ- - -tθ-/-θ-/AJ.Nine (Ben)/Theorist.m4a.wav,theorist
1) -ð- - -θ- - -tθ-/-θ-/AJ.Pang (โบว์)/Athlete.m4a.wav,athlete
1) -ð- - -θ- - -tθ-/-θ-/AJ.Pang (โบว์)/Hypothesis.m4a.wav,hypothesis
1) -ð- - -θ- - -tθ-/-θ-/AJ.Pang (โบว์)/Stealth.m4a.wav,stealth
1) -ð- - -θ- - -tθ-/-θ-/AJ.Pang (โบว์)/Theorist.m4a.wav,theorist
1) -ð- - -θ- - -tθ-/-θ-/AJ.Perry(กพ)/athlete.aac.wav,athlete
1) -ð- - -θ- - -tθ-/-θ-/AJ.Perry(กพ)/hypothesis.aac.wav,hypothesis
1) -ð- - -θ- - -tθ-/-θ-/AJ.Perry(กพ)/purchase.aac.wav,purchase
1) -ð- - -θ- - -tθ-/-θ-/AJ.Perry(กพ)/stealth.aac.wav,stealth
1) -ð- - -θ- - -tθ-/-θ-/AJ.Ying/athlete.mp3.wav,athlete
1) -ð- - -θ- - -tθ-/-θ-/AJ.Ying/hypothesis.mp3.wav,hypothesis
1) -ð- - -θ- - -tθ-/-θ-/AJ.Ying/stealth.mp3.wav,stealth
1) -ð- - -θ- - -tθ-/-θ-/AJ.Ying/theorist.mp3.wav,theorist
1) -ð- - -θ- - -tθ-/-θ-/Daniel (เเนน)/Athlete.m4a.wav,athlete
1) -ð- - -θ- - -tθ-/-θ-/Daniel (เเนน)/Hypothesis.m4a.wav,hypothesis
1) -ð- - -θ- - -tθ-/-θ-/Daniel (เเนน)/Stealth.m4a.wav,stealth
1) -ð- - -θ- - -tθ-/-θ-/Daniel (เเนน)/Theorist.m4a.wav,theorist
1) -ð- - -θ- - -tθ-/-θ-/hypothesis.m4a.wav,hypothesis
1) -ð- - -θ- - -tθ-/-θ-/N_Aung/Athlete.m4a.wav,athlete
1) -ð- - -θ- - -tθ-/-θ-/N_Aung/Hypothesis.m4a.wav,hypothesis
1) -ð- - -θ- - -tθ-/-θ-/N_Aung/Stealth.m4a.wav,stealth
1) -ð- - -θ- - -tθ-/-θ-/N_Aung/Theorist.m4a.wav,theorist
1) -ð- - -θ- - -tθ-/-θ-/N_Guy (Ping)/Athlete.m4a.wav,athlete
1) -ð- - -θ- - -tθ-/-θ-/N_Guy (Ping)/Hypothesis.m4a.wav,hypothesis
1) -ð- - -θ- - -tθ-/-θ-/N_Guy (Ping)/Stealth.m4a.wav,stealth
1) -ð- - -θ- - -tθ-/-θ-/N_Guy (Ping)/theorist.m4a.wav,theorist
1) -ð- - -θ- - -tθ-/-θ-/N_Maprang/athlete.m4a.wav,athlete
1) -ð- - -θ- - -tθ-/-θ-/N_Maprang/stealth.m4a.wav,stealth
1) -ð- - -θ- - -tθ-/-θ-/N_Maprang/theorist.m4a.wav,theorist
1) -ð- - -θ- - -tθ-/-θ-/N_Stamp (Ping)/Athlete.m4a.wav,athlete
1) -ð- - -θ- - -tθ-/-θ-/N_Stamp (Ping)/Hypothesis.m4a.wav,hypothesis
1) -ð- - -θ- - -tθ-/-θ-/N_Stamp (Ping)/Stealth.m4a.wav,stealth
1) -ð- - -θ- - -tθ-/-θ-/N_Stamp (Ping)/Theorist.m4a.wav,theorist
1) -ð- - -θ- - -tθ-/-θ-/P_meen (สมาย)/Athlete.m4a.wav,athlete
1) -ð- - -θ- - -tθ-/-θ-/P_meen (สมาย)/Hypothesis.m4a.wav,hypothesis
1) -ð- - -θ- - -tθ-/-θ-/P_meen (สมาย)/Starch.m4a.wav,starch
1) -ð- - -θ- - -tθ-/-θ-/P_meen (สมาย)/theorist.mp3.wav,theorist
1) -ð- - -θ- - -tθ-/-θ-/P_Numaun(smile)/athlete.mp3.wav,athlete
1) -ð- - -θ- - -tθ-/-θ-/P_Numaun(smile)/hypothesis.mp3.wav,hypothesis
1) -ð- - -θ- - -tθ-/-θ-/P_Numaun(smile)/stealth.mp3.wav,stealth
1) -ð- - -θ- - -tθ-/-θ-/P_Numaun(smile)/theorist.mp3.wav,theorist
1) -ð- - -θ- - -tθ-/-θ-/P’Manow (Ben)/athlete.m4a.wav,athlete
1) -ð- - -θ- - -tθ-/-θ-/P’Manow (Ben)/Hypothesis.m4a.wav,hypothesis
1) -ð- - -θ- - -tθ-/-θ-/P’Manow (Ben)/stealth.m4a.wav,stealth
1) -ð- - -θ- - -tθ-/-θ-/P’Manow (Ben)/theorist.m4a.wav,theorist
1) -ð- - -θ- - -tθ-/-θ-/P’Pop (เเนน)/Athlete.m4a.wav,athlete
1) -ð- - -θ- - -tθ-/-θ-/P’Pop (เเนน)/Hypothesis.m4a.wav,hypothesis
1) -ð- - -θ- - -tθ-/-θ-/P’Pop (เเนน)/sealth.m4a.wav,sealth
1) -ð- - -θ- - -tθ-/-θ-/P’Pop (เเนน)/Theorist.m4a.wav,theorist
